date,vnindex_close,vnindex_volume
2015-04-08,547.72,70218920
2015-04-09,550.52,83461272
2015-04-10,554.03,94475400
2015-04-13,559.54,68397200
2015-04-14,558.67,64342768
2015-04-15,564.5,74772592
2015-04-16,568.28,96584512
2015-04-17,568.32,104793288
2015-04-20,565.04,65083488
2015-04-21,562.24,81797056
2015-04-22,562.51,89314352
2015-04-23,561.25,71098648
2015-04-24,565.77,54121632
2015-04-27,562.4,53676760
2015-05-04,545.08,111153792
2015-05-05,552.65,100089472
2015-05-06,549.3,80300720
2015-05-07,552.98,65236660
2015-05-08,554.51,70875792
2015-05-11,551.67,88473680
2015-05-12,544.41,72362280
2015-05-13,542.82,76185760
2015-05-14,543.69,64983328
2015-05-15,537.44,72939360
2015-05-18,528.95,101571456
2015-05-19,536.82,83713920
2015-05-20,550.1,123636992
2015-05-21,552.56,103114440
2015-05-22,561.82,112920048
2015-05-25,563.0,106078240
2015-05-26,567.2,133053008
2015-05-27,566.48,111368808
2015-05-28,572.97,145617456
2015-05-29,569.56,129559296
2015-06-01,574.98,112680512
2015-06-02,570.31,120805280
2015-06-03,567.9,120677080
2015-06-04,568.99,102465872
2015-06-05,578.07,141129616
2015-06-08,579.83,181609696
2015-06-09,574.47,146632640
2015-06-10,574.1,123193808
2015-06-11,581.05,158674576
2015-06-12,582.73,154356240
2015-06-15,586.48,146447616
2015-06-16,580.35,152124384
2015-06-17,578.87,118202312
2015-06-18,580.35,90021552
2015-06-19,584.7,184477632
2015-06-22,594.08,145223136
2015-06-23,593.07,99831616
2015-06-24,590.02,112994496
2015-06-25,587.99,106046096
2015-06-26,581.75,138270496
2015-06-29,591.75,104599848
2015-06-30,593.05,136064736
2015-07-01,591.5,114962072
2015-07-02,605.7,117495712
2015-07-03,616.43,154568928
2015-07-06,625.22,161305632
2015-07-07,630.27,167953856
2015-07-08,623.17,180512896
2015-07-09,622.1,128611000
2015-07-10,627.28,149796672
2015-07-13,634.06,129559112
2015-07-14,638.69,148321440
2015-07-15,630.89,135994368
2015-07-16,626.9,113628752
2015-07-17,628.63,97179128
2015-07-20,620.54,105000848
2015-07-21,616.61,95668304
2015-07-22,629.85,109080568
2015-07-23,632.01,117644960
2015-07-24,631.26,109015568
2015-07-27,635.46,116704360
2015-07-28,631.47,149155536
2015-07-29,624.7,111883168
2015-07-30,626.57,96835200
2015-07-31,621.06,101422304
2015-08-03,609.47,120074912
2015-08-04,600.76,78122272
2015-08-05,607.08,92678088
2015-08-06,601.04,108566000
2015-08-07,603.76,75215360
2015-08-10,614.53,84997904
2015-08-11,613.05,102419456
2015-08-12,604.24,108828232
2015-08-13,594.26,119331520
2015-08-14,589.03,85702280
2015-08-17,573.15,104003688
2015-08-18,580.22,86433688
2015-08-19,577.82,98952272
2015-08-20,566.69,106922944
2015-08-21,556.3,180704064
2015-08-24,526.93,166417088
2015-08-25,529.98,167518816
2015-08-26,545.89,120486816
2015-08-27,555.81,115022568
2015-08-28,570.87,151294752
2015-08-31,564.75,103156064
2015-09-01,562.31,85154576
2015-09-03,554.3,88639136
2015-09-04,556.81,65396632
2015-09-07,554.93,62231592
2015-09-08,566.72,93964712
2015-09-09,572.34,83370392
2015-09-10,572.07,68366472
2015-09-11,566.74,83304008
2015-09-14,562.17,73159920
2015-09-15,563.27,75629992
2015-09-16,564.13,62116568
2015-09-17,562.48,69310472
2015-09-18,566.25,146392000
2015-09-21,572.12,85909480
2015-09-22,573.2,93447424
2015-09-23,572.72,83854560
2015-09-24,570.25,97457072
2015-09-25,570.38,64206160
2015-09-28,564.88,75292384
2015-09-29,561.19,81325504
2015-09-30,562.64,65873320
2015-10-01,563.54,59579580
2015-10-02,562.31,68185744
2015-10-05,570.0,90475448
2015-10-06,581.29,151905456
2015-10-07,579.57,132503592
2015-10-08,586.78,143545632
2015-10-09,588.02,147844672
2015-10-12,592.1,114261808
2015-10-13,590.84,101884608
2015-10-14,589.98,102671936
2015-10-15,592.4,104752736
2015-10-16,593.02,126451760
2015-10-19,594.61,98680464
2015-10-20,590.45,118292312
2015-10-21,590.24,91811440
2015-10-22,595.08,88520576
2015-10-23,601.74,96230816
2015-10-26,598.61,92720176
2015-10-27,598.44,88083744
2015-10-28,596.24,104906032
2015-10-29,605.2,99041848
2015-10-30,607.37,82752600
2015-11-02,602.76,112292816
2015-11-03,611.71,103782568
2015-11-04,610.6,97491504
2015-11-05,615.18,90953472
2015-11-06,612.36,103653712
2015-11-09,610.66,112006928
2015-11-10,605.27,108522704
2015-11-11,603.53,90407376
2015-11-12,605.58,137337744
2015-11-13,611.27,145889296
2015-11-16,609.21,122539984
2015-11-17,605.05,162846800
2015-11-18,603.34,110694888
2015-11-19,601.9,111444224
2015-11-20,604.46,130398968
2015-11-23,599.99,147238688
2015-11-24,593.83,150944928
2015-11-25,595.7,141109040
2015-11-26,590.4,143903296
2015-11-27,582.86,133885000
2015-11-30,573.2,112002656
2015-12-01,570.41,105037672
2015-12-02,574.42,95044360
2015-12-03,574.38,72157320
2015-12-04,571.62,83491232
2015-12-07,563.62,70843056
2015-12-08,574.15,97111472
2015-12-09,565.2,88440208
2015-12-10,561.04,94011536
2015-12-11,563.43,79068528
2015-12-14,562.22,92279448
2015-12-15,568.0,99030488
2015-12-16,572.55,96949848
2015-12-17,577.11,80826768
2015-12-18,568.18,179001184
2015-12-21,566.9,97315672
2015-12-22,566.35,74383904
2015-12-23,564.27,73480352
2015-12-24,566.17,64643240
2015-12-25,567.67,79503912
2015-12-28,569.9,100998128
2015-12-29,576.29,94079184
2015-12-30,579.45,83672232
2015-12-31,579.03,102999328
2016-01-04,574.41,95930576
2016-01-05,569.94,97997536
2016-01-06,574.57,82285160
2016-01-07,565.36,140610960
2016-01-08,560.05,133652640
2016-01-11,557.87,100564840
2016-01-12,564.26,101936976
2016-01-13,560.37,116482120
2016-01-14,553.03,128698360
2016-01-15,543.04,119036168
2016-01-18,526.37,155232192
2016-01-19,535.77,113134416
2016-01-20,529.44,110084632
2016-01-21,521.88,139640144
2016-01-22,522.24,159197824
2016-01-25,542.35,141544592
2016-01-26,537.73,129406632
2016-01-27,542.69,113837248
2016-01-28,539.47,107972912
2016-01-29,545.25,98772888
2016-02-01,540.56,91516392
2016-02-02,536.45,82057904
2016-02-03,539.07,72488008
2016-02-04,542.15,58991600
2016-02-05,544.75,58916528
2016-02-15,543.79,63716288
2016-02-16,548.05,101448928
2016-02-17,547.05,108363664
2016-02-18,552.49,105390240
2016-02-19,554.03,176932608
2016-02-22,560.71,146133920
2016-02-23,561.28,151169456
2016-02-24,568.04,150465744
2016-02-25,562.82,128761360
2016-02-26,566.11,96285504
2016-02-29,559.37,116967696
2016-03-01,561.56,115276232
2016-03-02,570.18,140295648
2016-03-03,570.39,121565344
2016-03-04,573.65,131099672
2016-03-07,576.2,154505984
2016-03-08,574.71,141463696
2016-03-09,571.71,118988384
2016-03-10,575.91,118002952
2016-03-11,577.26,134136632
2016-03-14,577.98,122214352
2016-03-15,574.04,138716128
2016-03-16,577.07,138524560
2016-03-17,579.26,138979600
2016-03-18,575.82,174491072
2016-03-21,572.27,143177264
2016-03-22,570.91,122911352
2016-03-23,574.71,130484448
2016-03-24,570.66,140020352
2016-03-25,572.08,132180848
2016-03-28,575.72,110859232
2016-03-29,568.28,132852472
2016-03-30,569.91,122484048
2016-03-31,561.22,145625024
2016-04-01,558.43,116291560
2016-04-04,555.82,108880000
2016-04-05,560.32,112087104
2016-04-06,567.79,99562200
2016-04-07,571.6,117899296
2016-04-08,572.34,111597808
2016-04-11,579.27,129674560
2016-04-12,579.84,138444128
2016-04-13,578.02,130634248
2016-04-14,579.49,116830600
2016-04-15,579.86,115434600
2016-04-19,568.28,125545072
2016-04-20,568.03,108722464
2016-04-21,575.73,100005664
2016-04-22,592.48,129717344
2016-04-25,591.58,130331664
2016-04-26,598.48,132638552
2016-04-27,593.96,134186560
2016-04-28,591.67,94003232
2016-04-29,598.37,110322992
2016-05-04,599.07,131949648
2016-05-05,601.51,120477352
2016-05-06,606.52,113045552
2016-05-09,603.85,105330976
2016-05-10,605.05,107863856
2016-05-11,614.06,104828048
2016-05-12,612.12,86561512
2016-05-13,610.82,105664256
2016-05-16,615.78,90053952
2016-05-17,624.75,116003280
2016-05-18,622.45,113469024
2016-05-19,619.2,114206000
2016-05-20,614.81,89160520
2016-05-23,611.03,76074600
2016-05-24,611.62,95492368
2016-05-25,611.89,95084720
